t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1717296900,2,0.079274,0.024908,0.006289,0.002179,events/second
1717296930,2,0.036138,0.015107,0.005691,0.002108,events/second
1717296960,2,0.023426,0.009163,0.005149,0.002039,events/second
1717296990,10,0.086656,0.124537,0.030722,0.010793,events/second
1717297020,18,0.123787,0.183825,0.053377,0.019206,events/second
1717297050,28,0.159610,0.248742,0.080289,0.029535,events/second
1717297080,33,0.160622,0.218550,0.088635,0.034045,events/second
1717297110,52,0.220821,0.386218,0.140703,0.053719,events/second
1717297140,57,0.214688,0.301934,0.143300,0.057437,events/second
1717297170,67,0.226715,0.320378,0.161655,0.066513,events/second
1717297200,72,0.221173,0.262000,0.162258,0.069811,events/second
1717297230,77,0.216568,0.216202,0.162279,0.072941,events/second
1717299240,15,0.589667,0.222564,0.048826,0.016535,events/second
1717299270,20,0.360276,0.197261,0.059902,0.021441,events/second
1717299300,30,0.350788,0.245918,0.085664,0.031636,events/second
1717299330,35,0.302937,0.211426,0.093234,0.036048,events/second
1717299360,45,0.309184,0.254509,0.115824,0.045764,events/second
1717299390,50,0.284787,0.216637,0.120525,0.049712,events/second
1717299420,60,0.291865,0.257670,0.140518,0.058980,events/second
1717299450,65,0.275917,0.218554,0.142868,0.062495,events/second
1717299480,75,0.282390,0.258832,0.160735,0.071344,events/second
1717299510,80,0.270631,0.219259,0.161161,0.074454,events/second
1717299540,90,0.276398,0.259260,0.177287,0.082911,events/second
1717299570,100,0.281188,0.219519,0.176138,0.085641,events/second
1717299600,109,0.282645,0.301585,0.203005,0.098042,events/second
1717299630,119,0.286296,0.312871,0.215395,0.105755,events/second
1717299660,129,0.289457,0.316039,0.226360,0.113186,events/second
1717299690,134,0.281701,0.253957,0.220541,0.114924,events/second
1717299720,144,0.284749,0.280305,0.231016,0.122054,events/second
1717299750,149,0.278130,0.232283,0.224755,0.123501,events/second
1717299780,159,0.281055,0.267159,0.234829,0.130350,events/second
1717299810,164,0.275293,0.224310,0.228204,0.131525,events/second
1717299840,174,0.278071,0.262323,0.237950,0.138111,events/second
1717299870,179,0.272970,0.221377,0.231029,0.139032,events/second
1717299900,189,0.275608,0.260544,0.240506,0.145372,events/second
1717299930,199,0.278020,0.300253,0.249870,0.151595,events/second
1717299960,213,0.285603,0.360113,0.270235,0.161894,events/second
1717299990,218,0.280999,0.280689,0.260241,0.162035,events/second
1717300020,228,0.282942,0.296519,0.266938,0.167620,events/second
1717300050,233,0.278764,0.242117,0.257258,0.167574,events/second
1717300080,243,0.280649,0.273124,0.264239,0.172978,events/second
1717300110,248,0.276830,0.227928,0.254816,0.172756,events/second
1717300140,258,0.278657,0.264518,0.262029,0.177990,events/second
1717300170,263,0.275141,0.222708,0.252816,0.177603,events/second
1717300200,273,0.276910,0.261352,0.260220,0.182679,events/second
1717300230,278,0.273650,0.220787,0.251179,0.182138,events/second
1717300260,288,0.275360,0.260187,0.258739,0.187065,events/second
1717300290,293,0.272325,0.220081,0.249839,0.186381,events/second
1717300320,303,0.273976,0.259758,0.257526,0.191168,events/second
1717300350,308,0.271139,0.219821,0.248742,0.190350,events/second
1717300380,318,0.272738,0.259601,0.256533,0.195007,events/second
1717300410,323,0.270075,0.219725,0.247843,0.194062,events/second
1717300440,333,0.271619,0.259543,0.255720,0.198598,events/second
1717300470,338,0.269112,0.219690,0.247108,0.197536,events/second
1717300500,348,0.270608,0.259521,0.255054,0.201958,events/second
1717300530,353,0.268237,0.219677,0.246505,0.200785,events/second
1717300560,363,0.269686,0.259514,0.254510,0.205101,events/second
1717300590,368,0.267438,0.219672,0.246012,0.203825,events/second
1717300620,378,0.268843,0.259511,0.254063,0.208041,events/second
1717300650,383,0.266706,0.219671,0.245609,0.206669,events/second
1717300680,393,0.268066,0.259510,0.253698,0.210792,events/second
1717300710,398,0.266031,0.219670,0.245278,0.209330,events/second
1717300741,408,0.267351,0.259509,0.253399,0.213365,events/second
1717300771,413,0.265406,0.219670,0.245007,0.211818,events/second
1717300801,423,0.266689,0.259509,0.253154,0.215772,events/second
1717300831,428,0.264831,0.219670,0.244786,0.214147,events/second
1717300861,438,0.266077,0.259509,0.252954,0.218024,events/second
1717300891,443,0.264295,0.219670,0.244604,0.216325,events/second
1717300921,453,0.265508,0.259509,0.252790,0.220131,events/second
1717300951,458,0.263799,0.219670,0.244456,0.218363,events/second
1717300981,468,0.264979,0.259509,0.252655,0.222102,events/second
1717301011,473,0.263336,0.219670,0.244334,0.220269,events/second
1717301041,483,0.264484,0.259509,0.252545,0.223945,events/second
1717301071,488,0.262902,0.219670,0.244235,0.222052,events/second
1717301101,498,0.264021,0.259509,0.252455,0.225670,events/second
1717301131,503,0.262495,0.219670,0.244153,0.223721,events/second
1717301161,513,0.263587,0.259509,0.252381,0.227284,events/second
1717301191,518,0.262114,0.219670,0.244087,0.225281,events/second
1717301221,528,0.263177,0.259509,0.252321,0.228794,events/second
1717301251,533,0.261754,0.219670,0.244032,0.226741,events/second
1717301281,543,0.262792,0.259509,0.252272,0.230206,events/second
1717301311,548,0.261416,0.219670,0.243987,0.228107,events/second
1717301341,558,0.262429,0.259509,0.252231,0.231527,events/second
1717301371,563,0.261095,0.219670,0.243951,0.229385,events/second
1717301401,573,0.262085,0.259509,0.252198,0.232763,events/second
1717301431,583,0.263047,0.272380,0.259128,0.235969,events/second
1717301461,593,0.263983,0.291479,0.265931,0.239131,events/second
1717301491,598,0.262698,0.239061,0.256346,0.236740,events/second
1717301521,608,0.263615,0.271270,0.263414,0.239876,events/second
1717301551,613,0.262367,0.226803,0.254069,0.237461,events/second
1717301581,623,0.263267,0.263836,0.261354,0.240574,events/second
1717301611,628,0.262056,0.222294,0.252205,0.238135,events/second
1717301641,638,0.262937,0.261101,0.259667,0.241226,events/second
1717301671,643,0.261760,0.220635,0.250679,0.238766,events/second
1717301701,653,0.262623,0.260095,0.258286,0.241837,events/second
1717301731,658,0.261478,0.220025,0.249429,0.239357,events/second
1717301761,668,0.262324,0.259724,0.257155,0.242408,events/second
1717301791,673,0.261210,0.219800,0.248406,0.239909,events/second
1717301821,683,0.262038,0.259588,0.256230,0.242942,events/second
1717301851,688,0.260952,0.219718,0.247569,0.240426,events/second
1717301881,698,0.261766,0.259538,0.255472,0.243442,events/second
1717301911,703,0.260706,0.219687,0.246883,0.240909,events/second
1717301941,713,0.261504,0.259520,0.254851,0.243909,events/second
1717301971,718,0.260471,0.219676,0.246321,0.241361,events/second
1717302001,728,0.261254,0.259513,0.254343,0.244346,events/second
1717302031,733,0.260245,0.219672,0.245862,0.241784,events/second
1717302061,743,0.261014,0.259510,0.253927,0.244756,events/second
1717302091,748,0.260030,0.219671,0.245485,0.242180,events/second
1717302121,758,0.260786,0.259510,0.253586,0.245138,events/second
1717302151,763,0.259824,0.219670,0.245177,0.242550,events/second
1717302181,773,0.260565,0.259509,0.253308,0.245496,events/second
1717302211,778,0.259625,0.219670,0.244925,0.242897,events/second
1717302241,788,0.260354,0.259509,0.253079,0.245831,events/second
1717302271,793,0.259434,0.219670,0.244718,0.243221,events/second
1717302301,803,0.260151,0.259509,0.252892,0.246145,events/second
1717302331,808,0.259249,0.219670,0.244549,0.243524,events/second
1717302361,818,0.259953,0.259509,0.252739,0.246438,events/second
1717302391,823,0.259070,0.219670,0.244411,0.243807,events/second
1717302421,833,0.259764,0.259509,0.252614,0.246712,events/second
1717302451,838,0.258899,0.219670,0.244297,0.244073,events/second
1717302481,848,0.259582,0.259509,0.252512,0.246969,events/second
1717302511,853,0.258735,0.219670,0.244204,0.244321,events/second
1717302541,863,0.259405,0.259509,0.252428,0.247209,events/second
1717302571,868,0.258576,0.219670,0.244128,0.244553,events/second
1717302601,878,0.259237,0.259509,0.252359,0.247433,events/second
1717302631,883,0.258423,0.219670,0.244066,0.244770,events/second
1717302661,893,0.259073,0.259509,0.252303,0.247643,events/second
1717302691,898,0.258274,0.219670,0.244015,0.244973,events/second
1717302721,908,0.258915,0.259509,0.252256,0.247840,events/second
1717302751,913,0.258132,0.219670,0.243974,0.245163,events/second
1717302781,923,0.258763,0.259509,0.252219,0.248024,events/second
1717302811,928,0.257994,0.219670,0.243939,0.245341,events/second
1717302841,938,0.258617,0.259509,0.252188,0.248196,events/second
1717302871,943,0.257862,0.219670,0.243911,0.245508,events/second
1717302901,953,0.258474,0.259509,0.252163,0.248357,events/second
1717302931,958,0.257732,0.219670,0.243889,0.245663,events/second
1717302961,968,0.258336,0.259509,0.252142,0.248507,events/second
1717302991,973,0.257608,0.219670,0.243870,0.245809,events/second
1717303021,983,0.258204,0.259509,0.252125,0.248648,events/second
1717303051,988,0.257487,0.219670,0.243854,0.245945,events/second
1717303082,998,0.258075,0.259509,0.252111,0.248780,events/second
1717303112,1003,0.257369,0.219670,0.243842,0.246072,events/second
1717303142,1013,0.257949,0.259509,0.252100,0.248903,events/second
1717303172,1018,0.257256,0.219670,0.243832,0.246192,events/second
1717303202,1028,0.257828,0.259509,0.252090,0.249018,events/second
1717303232,1033,0.257147,0.219670,0.243823,0.246303,events/second
1717303262,1043,0.257711,0.259509,0.252083,0.249126,events/second
1717303292,1048,0.257040,0.219670,0.243816,0.246407,events/second
1717303322,1058,0.257597,0.259509,0.252076,0.249227,events/second
1717303352,1063,0.256937,0.219670,0.243811,0.246505,events/second
1717303382,1073,0.257486,0.259509,0.252071,0.249321,events/second
1717303412,1078,0.256837,0.219670,0.243806,0.246596,events/second
1717303442,1088,0.257379,0.259509,0.252067,0.249410,events/second
1717303472,1093,0.256739,0.219670,0.243802,0.246682,events/second
1717303502,1103,0.257275,0.259509,0.252064,0.249492,events/second
1717303532,1108,0.256644,0.219670,0.243799,0.246762,events/second
1717303562,1118,0.257173,0.259509,0.252061,0.249570,events/second
1717303592,1123,0.256552,0.219670,0.243797,0.246836,events/second
1717303622,1133,0.257074,0.259509,0.252059,0.249642,events/second
1717303652,1138,0.256462,0.219670,0.243795,0.246906,events/second
1717303682,1148,0.256977,0.259509,0.252057,0.249710,events/second
1717303712,1153,0.256374,0.219670,0.243793,0.246972,events/second
1717303742,1163,0.256883,0.259509,0.252055,0.249773,events/second
1717303772,1168,0.256289,0.219670,0.243791,0.247033,events/second
1717303802,1178,0.256792,0.259509,0.252054,0.249832,events/second
1717303832,1183,0.256206,0.219670,0.243790,0.247090,events/second
1717303862,1193,0.256704,0.259509,0.252053,0.249887,events/second
1717303892,1198,0.256125,0.219670,0.243789,0.247144,events/second
1717303922,1208,0.256617,0.259509,0.252052,0.249939,events/second
1717303952,1213,0.256047,0.219670,0.243789,0.247194,events/second
1717303982,1223,0.256532,0.259509,0.252051,0.249988,events/second
1717304012,1228,0.255970,0.219670,0.243788,0.247241,events/second
1717304042,1238,0.256450,0.259509,0.252051,0.250033,events/second
1717304072,1243,0.255895,0.219670,0.243787,0.247284,events/second
1717304102,1253,0.256370,0.259509,0.252050,0.250075,events/second
1717304132,1258,0.255822,0.219670,0.243787,0.247326,events/second
1717304162,1268,0.256292,0.259509,0.252050,0.250115,events/second
1717304192,1273,0.255751,0.219670,0.243787,0.247364,events/second
1717304222,1283,0.256216,0.259509,0.252050,0.250152,events/second
1717304252,1288,0.255682,0.219670,0.243786,0.247400,events/second
1717304282,1298,0.256141,0.259509,0.252049,0.250187,events/second
1717304312,1303,0.255614,0.219670,0.243786,0.247433,events/second
1717304342,1313,0.256068,0.259509,0.252049,0.250219,events/second
1717304372,1318,0.255547,0.219670,0.243786,0.247465,events/second
1717304402,1328,0.255997,0.259509,0.252049,0.250250,events/second
1717304432,1333,0.255483,0.219670,0.243786,0.247494,events/second
1717304462,1343,0.255927,0.259509,0.252049,0.250278,events/second
1717304492,1348,0.255419,0.219670,0.243786,0.247522,events/second
1717304522,1358,0.255859,0.259509,0.252049,0.250305,events/second
1717304552,1363,0.255357,0.219670,0.243786,0.247547,events/second
1717304582,1373,0.255793,0.259509,0.252049,0.250330,events/second
1717304612,1378,0.255297,0.219670,0.243786,0.247571,events/second
1717304642,1388,0.255728,0.259509,0.252049,0.250353,events/second
1717304672,1393,0.255238,0.219670,0.243785,0.247594,events/second
1717304702,1403,0.255664,0.259509,0.252049,0.250375,events/second
1717304732,1408,0.255180,0.219670,0.243785,0.247615,events/second
1717304762,1418,0.255602,0.259509,0.252049,0.250395,events/second
1717304792,1423,0.255123,0.219670,0.243785,0.247635,events/second
1717304822,1433,0.255541,0.259509,0.252048,0.250414,events/second
1717304852,1438,0.255068,0.219670,0.243785,0.247653,events/second
1717304882,1448,0.255482,0.259509,0.252048,0.250432,events/second
1717304912,1453,0.255014,0.219670,0.243785,0.247670,events/second
1717304942,1463,0.255423,0.259509,0.252048,0.250449,events/second
1717304972,1468,0.254960,0.219670,0.243785,0.247687,events/second
1717305002,1478,0.255366,0.259509,0.252048,0.250464,events/second
1717305032,1483,0.254908,0.219670,0.243785,0.247702,events/second
1717305062,1493,0.255310,0.259509,0.252048,0.250479,events/second
1717305092,1498,0.254858,0.219670,0.243785,0.247716,events/second
1717305122,1508,0.255256,0.259509,0.252048,0.250493,events/second
1717305152,1513,0.254808,0.219670,0.243785,0.247729,events/second
1717305182,1523,0.255202,0.259509,0.252048,0.250505,events/second
1717305212,1528,0.254758,0.219670,0.243785,0.247741,events/second
1717305242,1533,0.254319,0.185946,0.235793,0.245008,events/second
1717305272,1533,0.253059,0.112782,0.213354,0.236975,events/second
1717305302,1533,0.251812,0.068406,0.193051,0.229206,events/second
1717305332,1533,0.250577,0.041490,0.174680,0.221692,events/second
1717305362,1533,0.249354,0.025165,0.158057,0.214424,events/second
1717305392,1533,0.248143,0.015263,0.143016,0.207395,events/second
1717305422,1533,0.246943,0.009258,0.129406,0.200595,events/second
1717305452,1533,0.245755,0.005615,0.117091,0.194019,events/second
1717305482,1533,0.244578,0.003406,0.105949,0.187658,events/second
1717305512,1533,0.243413,0.002066,0.095866,0.181506,events/second
1717305542,1533,0.242258,0.001253,0.086743,0.175556,events/second
1717305572,1533,0.241115,0.000760,0.078489,0.169800,events/second
1717305602,1533,0.239983,0.000461,0.071019,0.164234,events/second
1717305632,1533,0.238860,0.000280,0.064261,0.158849,events/second
1717305662,1533,0.237748,0.000170,0.058146,0.153642,events/second
1717305692,1533,0.236646,0.000103,0.052613,0.148605,events/second
1717305722,1533,0.235554,0.000062,0.047606,0.143733,events/second
1717305752,1533,0.234473,0.000038,0.043075,0.139021,events/second
1717305783,1533,0.233401,0.000023,0.038976,0.134463,events/second
1717305813,1533,0.232339,0.000014,0.035267,0.130055,events/second
1717305843,1533,0.231287,0.000008,0.031911,0.125791,events/second
1717305873,1533,0.230244,0.000005,0.028874,0.121667,events/second
1717305903,1533,0.229211,0.000003,0.026127,0.117679,events/second
1717305933,1533,0.228186,0.000002,0.023640,0.113821,events/second
1717305963,1533,0.227171,0.000001,0.021391,0.110089,events/second
1717305993,1533,0.226164,0.000001,0.019355,0.106480,events/second
1717306023,1533,0.225167,0.000000,0.017513,0.102989,events/second
1717306053,1533,0.224179,0.000000,0.015847,0.099613,events/second
1717306083,1533,0.223199,0.000000,0.014339,0.096347,events/second
1717306113,1533,0.222228,0.000000,0.012974,0.093188,events/second
